iter	Passed	Remaining
738	69595	24579
739	69690	24485
740	69785	24391
741	69880	24297
742	69975	24204
743	70064	24108
744	70164	24015
745	70258	23921
746	70353	23827
747	70448	23734
748	70537	23638
749	70627	23542
750	70717	23446
751	70811	23352
752	70906	23258
753	71001	23164
754	71105	23074
755	71205	22981
756	71301	22887
757	71395	22793
758	71484	22698
759	71582	22605
760	71672	22509
761	71761	22413
762	71850	22317
763	71944	22223
764	72034	22128
765	72123	22032
766	72217	21938
767	72312	21844
768	72402	21748
769	72497	21654
770	72592	21561
771	72681	21465
772	72776	21371
773	72875	21278
774	72975	21186
775	73071	21092
776	73171	21000
777	73271	20907
778	73366	20813
779	73456	20718
780	73551	20624
781	73646	20530
782	73740	20436
783	73830	20341
784	73924	20246
785	74014	20151
786	74103	20056
787	74192	19960
788	74287	19866
789	74387	19773
790	74476	19678
791	74576	19585
792	74670	19491
793	74770	19398
794	74865	19304
795	74965	19212
796	75054	19116
797	75148	19022
798	75243	18928
799	75338	18834
800	75428	18739
801	75523	18645
802	75613	18550
803	75702	18454
804	75791	18359
805	75881	18264
806	75971	18169
807	76060	18073
808	76154	17979
809	76255	17887
810	76345	17791
811	76440	17697
812	76534	17603
813	76634	17511
814	76731	17417
815	76836	17325
816	76937	17233
817	77036	17140
818	77131	17046
819	77226	16952
820	77326	16859
821	77426	16766
822	77517	16671
823	77591	16572
824	77597	16460
825	77683	16364
826	77783	16271
827	77876	16177
828	77970	16083
829	78059	15988
830	78153	15894
831	78254	15801
832	78342	15706
833	78437	15612
834	78531	15518
835	78625	15424
836	78724	15331
837	78813	15236
838	78908	15142
839	78997	15047
840	79097	14954
841	79187	14859
842	79276	14764
843	79366	14669
844	79455	14574
845	79550	14480
846	79644	14386
847	79734	14292
848	79824	14197
849	79918	14103
850	80012	14009
851	80114	13916
852	80209	13822
853	80304	13728
854	80407	13636
855	80511	13544
856	80601	13449
857	80702	13356
858	80792	13261
859	80887	13167
860	80989	13074
861	81092	12982
862	81195	12889
863	81295	12796
864	81398	12703
865	81498	12610
866	81601	12517
867	81701	12424
868	81799	12331
869	81900	12237
870	81996	12144
871	82091	12050
872	82181	11955
873	82283	11862
874	82378	11768
875	82468	11673
876	82566	11580
877	82657	11485
878	82763	11392
879	82861	11299
880	82935	11202
881	83026	11107
882	83128	11014
883	83224	10920
884	83329	10828
885	83429	10734
886	83537	10642
887	83643	10549
888	83743	10456
889	83843	10362
890	83940	10268
891	83996	10170
892	84076	10074
893	84181	9981
894	84283	9887
895	84390	9795
896	84497	9702
897	84595	9608
898	84699	9515
899	84799	9422
900	84902	9328
901	85007	9235
902	85103	9141
903	85192	9047
904	85253	8949
905	85323	8852
906	85418	8758
907	85508	8663
908	85608	8570
909	85704	8476
910	85799	8382
911	85894	8288
912	86001	8195
913	86098	8101
914	86195	8007
915	86282	7912
916	86376	7818
917	86469	7723
918	86565	7629
919	86656	7535
920	86745	7440
921	86840	7346
922	86929	7252
923	87034	7158
924	87122	7063
925	87222	6970
926	87316	6876
927	87411	6781
928	87506	6687
929	87600	6593
930	87696	6499
931	87796	6405
932	87899	6312
933	87999	6218
934	88099	6124
935	88193	6030
936	88283	5935
937	88381	5841
